DATE,OPEN,HIGH,LOW,CLOSE,VOL,CLOSE_LASTTRADE,CLOSE_ASK,CLOSE_BID,RETURN,SHARE,DIVIDEND,TOTALCAP
20000103,35.51563,36.00000,35.06250,36.00000,2920432,36.00000,36.00000,35.96875,0.006114,308444,0.00000,11103984.00
20000104,35.43750,37.87500,35.43750,37.00000,6795044,37.00000,37.03125,37.00000,0.027778,308444,0.00000,11412428.00
20000105,36.75000,39.81250,36.56250,38.75000,8036038,38.75000,38.84375,38.75000,0.047297,308444,0.00000,11952205.00
20000106,38.21875,40.59375,37.81250,38.87500,5384084,38.87500,38.87500,38.84375,0.003226,308444,0.00000,11990760.50
20000107,38.84375,41.50000,38.84375,41.00000,3379430,41.00000,41.00000,40.96875,0.054662,308444,0.00000,12646204.00
20000110,41.00000,44.18750,41.00000,43.46875,2790680,43.46875,43.46875,43.43750,0.060213,308444,0.00000,13407675.13
20000111,42.31250,43.37500,40.25000,40.68750,3040984,40.68750,40.71875,40.68750,-0.063983,308444,0.00000,12549815.25
20000112,40.34375,42.93750,40.25000,41.87500,2346864,41.87500,41.87500,41.84375,0.029186,308444,0.00000,12916092.50
20000113,42.09375,43.12500,40.87500,43.00000,1677498,43.00000,43.00000,42.96875,0.026866,308444,0.00000,13263092.00
20000114,43.42188,45.75000,43.40625,44.81250,2668354,44.81250,44.81250,44.75000,0.042151,308444,0.00000,13822146.75
20000118,44.00000,46.40625,43.68750,45.68750,2894450,45.68750,45.68750,45.65625,0.019526,308444,0.00000,14092035.25
20000119,46.75000,48.62500,45.21875,47.53125,4310494,47.53125,47.53125,47.50000,0.040356,308444,0.00000,14660728.88
20000120,47.96875,49.84375,44.93750,45.43750,4241918,45.43750,45.43750,45.40625,-0.044050,308444,0.00000,14014924.25
20000121,45.50000,45.78125,44.50000,44.84375,4061188,44.84375,44.87500,44.84375,-0.013067,308444,0.00000,13831785.63
20000124,44.90625,47.25000,44.75000,44.84375,3336664,44.84375,44.84375,44.81250,0.000000,308444,0.00000,13831785.63
20000125,45.09375,47.06250,43.43750,47.00000,3596720,47.00000,47.00000,46.96875,0.048084,308444,0.00000,14496868.00
20000126,46.50000,46.87500,44.25000,44.43750,3281904,44.43750,44.43750,44.40625,-0.054096,308444,0.02000,13706480.25
20000127,44.73438,46.93750,44.53125,46.37500,4652660,46.37500,46.37500,46.25000,0.043601,308444,0.00000,14304090.50
20000128,45.68750,47.09375,44.81250,45.37500,3596104,45.37500,45.56250,45.40625,-0.021563,308444,0.00000,13995646.50
20000131,45.12500,47.75000,45.09375,47.34375,4868000,47.34375,47.37500,47.34375,0.043388,308444,0.00000,14602895.63
20000201,47.68750,49.12500,46.81250,48.84375,3351836,48.84375,48.84375,48.84375,0.031683,308444,0.00000,15065561.63
20000202,49.00000,50.21875,48.31250,50.09375,3342962,50.09375,50.09375,50.06250,0.025592,308444,0.00000,15451116.63
20000203,50.50000,51.34375,48.50000,51.00000,3917292,51.00000,51.00000,50.96875,0.018091,308444,0.00000,15730644.00
20000204,51.15625,51.75000,50.03125,50.71875,2207246,50.71875,50.71875,50.65625,-0.005515,308444,0.00000,15643894.13
20000207,50.56250,52.50000,50.12500,52.46094,2157474,52.46094,52.46875,52.43750,0.034350,308444,0.00000,16181261.41
20000208,52.65625,54.25000,52.25000,54.00000,3850706,54.00000,54.00000,53.96875,0.029337,308444,0.00000,16655976.00
20000209,54.00000,54.81250,52.56250,52.75000,2777912,52.75000,52.75000,52.71875,-0.023148,308444,0.00000,16270421.00
20000210,52.78125,55.37500,52.31250,55.09375,2739424,55.09375,55.09375,55.06250,0.044431,308444,0.00000,16993336.63
20000211,55.25000,55.75000,52.34375,52.75000,3601628,52.75000,52.75000,52.71875,-0.042541,308444,0.00000,16270421.00
20000214,52.96875,54.50000,50.56250,54.06250,3010860,54.06250,54.06250,54.03125,0.024882,308444,0.00000,16675253.75
20000215,53.65625,53.68750,50.78125,52.50000,3034406,52.50000,52.50000,52.46875,-0.028902,308444,0.00000,16193310.00
20000216,52.31250,52.81250,50.50000,50.87500,3539934,50.87500,50.87500,50.84375,-0.030952,308444,0.00000,15692088.50
20000217,51.53125,51.68750,49.68750,51.12500,3573606,51.12500,51.12500,51.09375,0.004914,308444,0.00000,15769199.50
20000218,50.50000,52.03125,50.06250,50.96875,4188292,50.96875,50.96875,50.93750,-0.003056,308444,0.00000,15721005.13
20000222,50.46875,50.67188,48.00000,49.21875,3127182,49.21875,49.21875,49.15625,-0.034335,308444,0.00000,15181228.13
20000223,49.15625,51.53125,48.56250,51.43750,3794242,51.43750,51.43750,51.34375,0.045079,308444,0.00000,15865588.25
20000224,51.68750,53.75000,50.03125,53.37500,2942762,53.37500,53.40625,53.40625,0.037667,308444,0.00000,16463198.50
20000225,53.53125,54.25000,51.96875,52.06250,3623034,52.06250,52.21875,52.06250,-0.024590,308444,0.00000,16058365.75
20000228,51.75000,52.87500,48.62500,51.43750,3808092,51.43750,51.43750,51.40625,-0.012005,308444,0.00000,15865588.25
20000229,51.59375,53.25000,51.50000,52.46875,3867218,52.46875,52.50000,52.46875,0.020049,308444,0.00000,16183671.13
20000301,53.00000,54.12500,51.03125,51.06250,3292442,51.06250,51.06250,51.03125,-0.026802,308444,0.00000,15749921.75
20000302,51.34375,51.50000,47.75000,47.75000,4535808,47.75000,47.78125,47.75000,-0.064871,308444,0.00000,14728201.00
20000303,48.96875,49.81250,48.28125,49.25000,5818292,49.25000,49.25000,49.18750,0.031414,308444,0.00000,15190867.00
20000306,49.25000,49.68750,47.00000,47.03125,3722876,47.03125,47.06250,47.03125,-0.045051,308444,0.00000,14506506.88
20000307,47.93750,48.18750,45.12500,45.50000,4753516,45.50000,45.53125,45.50000,-0.032558,308444,0.00000,14034202.00
20000308,45.71875,48.81250,44.00000,48.78125,4904434,48.78125,48.78125,48.75000,0.072115,308444,0.00000,15046283.88
20000309,48.46875,50.50000,47.75000,50.37500,3616604,50.37500,50.40625,50.37500,0.032671,308444,0.00000,15537866.50
20000310,50.15625,51.71875,49.38281,50.78125,2531424,50.78125,50.78125,50.75000,0.008065,308444,0.00000,15663171.88
20000313,50.25000,50.25000,47.00000,47.25000,4409308,47.25000,47.25000,47.12500,-0.069538,308444,0.00000,14573979.00
20000314,48.18750,48.68750,43.00000,43.21875,4718898,43.21875,43.25000,43.21875,-0.085317,308444,0.00000,13330564.13
20000315,43.59375,45.25000,42.43750,42.96875,3731180,42.96875,42.96875,42.93750,-0.005785,308444,0.00000,13253453.13
20000316,43.43750,47.62500,41.96875,47.09375,5080688,47.09375,47.09375,47.06250,0.096000,308444,0.00000,14525784.63
20000317,46.50000,47.43750,45.03125,47.15625,4191994,47.15625,47.12500,47.12500,0.001327,308444,0.00000,14545062.38
20000320,46.75000,48.37500,44.68750,44.81250,2402332,44.81250,44.81250,44.68750,-0.049702,308444,0.00000,13822146.75
